FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,Top_Team_Won
2.2,0.8,0.02,1.4,2.6,0.02,0.8,-1.8,0.03,-3.1,-4.7,0.02,-0.5,1.1,0.7,5.4,-0.2,0.3,-0.8,-2.3,2.7,25.0,True
2.3,2.2,0.02,2.2,7.4,-0.01,0.1,-5.2,0.05,2.2,3.2,-0.01,0.9,-1.4,-0.5,4.4,0.9,0.3,0.0,0.4,9.1,10.0,False
-0.1,3.6,-0.02,2.2,6.8,-0.01,-2.3,-3.2,-0.01,-3.6,-4.1,-0.02,0.7,-2.4,-1.7,-1.1,0.8,-0.2,2.1,2.3,-1.9,-22.0,True
-1.9,0.6,-0.02,0.4,2.4,-0.01,-2.3,-1.7,-0.03,1.3,3.5,-0.06,1.4,0.0,1.4,-1.6,-1.7,-1.2,1.1,0.5,-2.2,-16.0,False
-2.5,-2.5,-0.02,-1.3,-2.1,-0.02,-1.2,-0.4,-0.02,-0.5,2.2,-0.11,1.4,0.4,1.8,-2.0,-1.0,0.2,1.9,0.5,-6.7,-10.0,False
3.5,2.4,0.03,-1.6,-4.0,-0.01,5.1,6.6,0.03,-0.6,0.3,-0.04,1.2,2.3,3.5,3.8,0.2,0.5,2.6,2.2,4.7,-6.0,False
-2.8,-4.4,-0.01,2.4,7.9,-0.01,-5.2,-12.3,0.02,-0.3,1.0,-0.05,-1.2,1.7,0.5,-1.2,-1.8,-0.7,1.1,-0.2,-3.6,-3.0,False
-0.4,1.6,-0.01,1.1,6.1,-0.04,-1.5,-4.4,0.01,-1.4,-0.1,-0.06,2.7,-1.0,1.7,2.9,1.6,-0.3,1.3,1.9,-1.0,6.0,True
-0.3,1.0,-0.01,-2.5,-4.7,-0.03,2.2,5.7,-0.02,-1.2,-2.8,0.04,-0.9,-5.1,-6.0,-2.1,0.9,-0.8,0.5,2.5,-4.2,-31.0,False
4.3,6.2,0.02,1.1,1.8,0.02,3.2,4.2,0.02,1.3,0.3,0.04,3.0,3.2,6.2,-0.9,-1.6,-0.5,-0.2,-1.6,11.2,20.0,True
2.1,0.1,0.02,-6.1,-19.6,0.03,8.2,19.7,-0.04,3.3,4.1,0.0,-0.5,3.9,3.4,2.8,-1.7,-0.2,1.2,1.3,1.2,-5.0,False
0.0,3.5,-0.02,1.1,1.6,0.02,-0.9,1.7,-0.03,1.5,1.7,0.01,2.4,-0.9,1.5,-2.2,1.8,-0.2,-1.7,1.7,2.7,12.0,True
0.9,-3.4,0.03,-3.1,-11.7,0.04,4.0,8.3,-0.01,-0.4,-2.4,0.07,-2.4,1.0,-1.4,-1.3,-2.1,-0.4,-4.9,-5.5,-1.6,19.0,True
4.0,5.7,0.01,-4.8,-15.5,0.02,8.8,21.2,-0.05,-2.8,-1.7,-0.06,0.8,2.5,3.3,4.2,-0.2,-0.5,0.1,-0.6,0.3,-14.0,False
2.1,-0.2,0.02,2.3,3.0,0.03,-0.1,-3.4,0.03,0.5,-0.5,0.05,-2.2,2.0,-0.2,2.0,-0.1,2.0,0.9,1.4,7.0,3.0,True
2.5,-1.3,0.03,-2.6,-9.4,0.03,5.1,8.1,0.02,-1.5,-2.0,0.01,-2.1,0.1,-2.0,3.5,1.8,0.9,-0.1,-2.7,1.0,7.0,True
2.5,2.5,0.02,1.3,2.1,0.02,1.2,0.4,0.02,0.5,-2.2,0.11,-1.4,-0.4,-1.8,2.0,1.0,-0.2,-1.9,-0.5,6.7,10.0,True
-3.1,-1.4,-0.03,-0.7,-2.0,0.0,-2.4,0.7,-0.05,1.1,2.3,-0.03,1.7,-4.8,-3.1,-2.2,-0.9,-1.8,1.2,1.9,-5.9,-18.0,False
-1.6,0.4,-0.02,0.9,3.6,-0.01,-2.5,-3.2,-0.02,1.9,3.2,-0.02,1.7,0.2,1.8,-1.8,-0.6,0.8,-0.1,0.6,-0.3,-5.0,True
1.8,0.0,0.02,1.0,1.7,0.01,0.8,-1.7,0.03,2.7,2.8,0.02,-0.4,0.2,-0.2,-0.1,1.7,-0.1,0.8,2.4,7.1,16.0,True
-0.7,0.7,-0.01,-0.9,-2.0,-0.01,0.2,2.7,-0.02,0.1,1.0,-0.03,-0.5,-2.7,-3.2,1.6,1.6,0.0,-0.7,-0.1,-2.2,-17.0,False
-2.7,-1.3,-0.02,1.7,6.4,-0.02,-4.4,-7.8,-0.01,-2.4,-2.2,-0.03,-0.8,-1.7,-2.5,-3.5,-0.9,-1.0,-0.7,-1.2,-6.3,-18.0,True
0.2,-3.4,0.02,0.2,0.1,0.01,0.0,-3.4,0.03,0.4,2.4,-0.06,0.1,2.5,2.6,2.8,0.9,1.0,2.9,2.2,1.0,11.0,True
1.2,-0.2,0.01,-0.7,0.2,-0.03,1.9,-0.4,0.04,1.2,2.0,-0.01,-1.6,-0.6,-2.3,3.2,2.5,2.7,2.1,3.6,3.0,0.0,True
-2.0,0.7,-0.03,-0.5,-1.2,-0.0,-1.5,1.9,-0.05,-0.3,0.2,-0.02,2.3,-5.9,-3.6,-0.2,0.7,-0.8,3.1,4.0,-4.8,-31.0,True
3.8,7.1,0.01,-1.1,-4.0,0.01,5.0,11.1,-0.01,-1.0,-0.3,-0.03,2.5,0.3,2.8,0.0,2.8,0.9,-0.2,2.3,5.6,16.0,False
1.1,1.7,0.0,0.0,-1.1,0.01,1.2,2.8,-0.01,1.5,0.1,0.06,0.9,-0.2,0.7,1.4,-0.1,0.0,-0.9,0.4,3.6,-4.0,False
-0.9,-4.7,0.01,-1.4,-4.6,0.01,0.5,-0.1,0.01,0.7,-1.7,0.09,-1.8,1.1,-0.7,-0.9,-2.2,0.3,-1.3,-3.3,-2.5,9.0,False
-0.2,-0.1,-0.0,-0.3,-1.9,0.01,0.1,1.9,-0.02,-2.6,-3.0,-0.01,2.2,1.8,4.0,1.1,-0.6,-0.2,-0.7,-0.7,-3.3,22.0,False
3.8,0.0,0.04,1.4,0.5,0.03,2.5,-0.5,0.05,-2.1,-2.7,0.0,-0.2,2.6,2.4,6.2,0.4,1.5,2.1,2.5,7.0,18.0,True
3.3,3.1,0.02,0.1,-3.1,0.05,3.2,6.1,0.0,4.9,5.5,0.02,0.9,2.8,3.7,0.1,-1.5,-0.8,0.5,1.3,11.6,15.0,True
2.4,-0.1,0.03,-0.3,-3.3,0.03,2.7,3.2,0.02,6.2,7.8,0.0,-1.0,3.9,2.8,3.3,0.3,2.3,1.0,3.3,10.6,29.0,True
-1.8,-0.8,-0.02,0.2,1.7,-0.01,-2.0,-2.4,-0.01,3.4,6.0,-0.06,1.2,0.9,2.1,-2.5,-2.0,-1.2,2.3,1.1,-0.2,-7.0,True
-4.0,-5.7,-0.01,4.8,15.5,-0.02,-8.8,-21.2,0.05,2.8,1.7,0.06,-0.8,-2.5,-3.3,-4.2,0.2,0.5,-0.1,0.6,-0.3,14.0,True
-3.5,-2.3,-0.03,1.1,4.1,-0.01,-4.6,-6.3,-0.02,-1.7,-0.2,-0.07,-0.4,-2.6,-3.0,-0.5,0.2,-1.0,0.0,1.7,-7.7,-12.0,True
0.9,-2.1,0.02,-1.9,-6.7,0.02,2.8,4.6,0.01,0.8,1.9,-0.03,-0.7,-1.7,-2.4,0.5,2.1,-0.5,0.5,0.8,0.7,6.0,False
-1.4,0.3,-0.02,-1.3,-2.9,-0.01,-0.1,3.2,-0.03,3.0,2.2,0.06,-0.7,-0.8,-1.6,-4.2,-0.8,-0.4,-0.7,0.0,-1.1,-22.0,False
-2.4,-1.2,-0.02,-3.3,-7.9,-0.01,0.9,6.7,-0.04,-1.5,-1.3,-0.02,-0.8,-1.5,-2.3,-3.5,-0.9,-1.0,0.1,-0.7,-9.5,-36.0,False
0.1,3.1,-0.02,-0.7,-1.5,-0.01,0.8,4.5,-0.03,-2.1,-3.2,0.02,0.4,-3.4,-3.0,-2.3,0.9,-0.3,-1.8,-1.0,-2.7,-15.0,False
2.1,3.0,0.01,-0.3,0.4,-0.01,2.4,2.5,0.02,-0.1,-0.3,0.01,0.3,-1.7,-1.4,0.0,0.7,-0.4,1.6,1.6,4.0,-14.0,False
0.8,3.5,-0.01,3.1,9.1,-0.01,-2.3,-5.6,0.01,-0.2,-1.6,0.05,0.5,1.0,1.5,0.3,-0.1,0.4,-0.9,1.0,4.4,1.0,True
-0.9,1.2,-0.02,2.0,6.3,-0.01,-2.9,-5.0,-0.01,-1.4,0.1,-0.06,-0.2,-1.7,-1.9,2.8,1.5,0.1,3.2,3.2,-1.4,-24.0,False
-2.4,1.5,-0.03,-3.2,-5.7,-0.03,0.7,7.2,-0.05,2.8,3.9,-0.01,1.6,-3.0,-1.4,-4.8,0.7,-1.4,-1.2,-1.1,-5.2,-21.0,True
0.7,4.0,-0.01,0.4,1.2,-0.0,0.4,2.6,-0.02,2.0,4.1,-0.04,0.7,1.0,1.7,-4.0,1.6,0.8,0.6,2.4,3.8,-5.0,False
-1.7,-3.7,0.0,0.8,0.7,0.02,-2.5,-4.4,-0.0,0.4,1.6,-0.03,0.3,3.7,4.0,-0.3,-0.2,1.3,1.0,0.4,-2.3,18.0,True
2.4,0.7,0.02,-1.6,-2.9,-0.02,3.9,3.8,0.03,-2.1,0.2,-0.1,0.3,2.5,2.8,2.4,0.3,0.5,3.5,1.8,1.1,-2.0,True
-1.6,-0.8,-0.01,0.7,2.7,-0.01,-2.3,-3.5,-0.01,2.3,3.9,-0.04,1.4,-1.8,-0.4,-3.0,0.3,-1.4,0.6,3.5,-0.3,-1.0,True
1.2,-1.5,0.02,-2.0,-6.0,0.01,3.2,4.4,0.02,2.2,2.0,0.03,-0.1,1.3,1.2,3.1,0.8,1.2,-0.2,-0.2,3.0,9.0,True
0.8,1.1,0.0,-1.2,-4.2,0.01,2.0,5.4,-0.02,-3.7,-3.6,-0.05,1.1,-0.1,1.0,0.9,1.1,1.2,0.5,0.8,-3.2,6.0,True
-4.0,-0.8,-0.04,-2.4,-4.3,-0.03,-1.6,3.5,-0.06,0.4,1.9,-0.05,0.9,-1.3,-0.5,-5.3,-1.5,-0.2,0.0,-0.1,-9.8,-41.0,False
-2.7,-2.6,-0.02,5.1,14.0,0.01,-7.8,-16.7,0.02,3.5,3.5,0.04,-1.7,-2.6,-4.3,-6.2,0.8,0.5,-0.1,2.0,3.2,-1.0,True
2.1,3.6,0.01,3.5,12.4,-0.03,-1.4,-8.8,0.06,-4.7,-5.3,-0.02,-0.4,4.6,4.2,2.0,0.7,1.2,-0.6,-3.7,3.0,12.0,True
0.5,-0.9,0.01,-1.0,0.0,-0.03,1.5,-0.8,0.03,1.3,0.7,0.03,0.1,1.8,1.9,1.6,-0.9,1.0,1.4,-0.3,1.2,-6.0,True
3.4,0.8,0.03,-0.4,-3.8,0.04,3.8,4.6,0.03,0.8,0.3,0.03,-1.5,3.6,2.0,3.8,-0.4,2.3,-1.4,-1.9,7.2,29.0,True
-2.5,-2.7,-0.01,-1.9,-4.8,-0.01,-0.6,2.2,-0.03,-2.8,-2.6,-0.03,-3.0,-2.1,-5.1,-1.1,0.7,-0.7,0.3,-0.1,-9.8,-31.0,False
-6.0,-5.4,-0.04,-3.4,-5.5,-0.04,-2.7,0.3,-0.05,1.4,2.6,-0.03,-0.9,-3.5,-4.4,-5.5,0.7,-0.9,-0.3,0.6,-14.2,-24.0,False
1.3,7.0,-0.02,1.9,7.2,-0.03,-0.5,-0.3,-0.01,2.0,3.9,-0.04,3.3,1.8,5.1,-2.6,0.6,0.3,0.3,3.0,6.5,1.0,True
-2.0,-2.7,-0.01,-1.7,-4.0,-0.01,-0.3,1.3,-0.02,-0.8,-1.2,0.01,-0.6,-1.4,-2.0,-2.4,0.7,0.5,1.5,2.9,-6.5,-13.0,False
-2.2,-4.1,-0.0,1.8,3.0,0.02,-3.9,-7.2,0.0,2.5,2.2,0.04,-0.2,0.0,-0.2,0.4,0.6,0.5,-0.6,0.4,-0.1,13.0,True
-2.1,1.4,-0.03,2.0,8.6,-0.04,-4.1,-7.3,-0.01,1.2,2.1,-0.02,0.7,-1.6,-0.9,-1.3,1.1,0.2,0.1,0.8,-1.0,-9.0,True
-3.2,-2.9,-0.02,-2.3,-5.4,-0.01,-0.9,2.5,-0.04,0.8,1.2,-0.01,0.9,-2.8,-1.8,-5.6,-2.1,-2.9,0.7,-0.4,-7.9,-30.0,False
-0.8,-1.1,-0.0,-0.1,0.3,-0.01,-0.7,-1.4,0.0,0.1,2.5,-0.09,1.2,-0.3,0.9,-1.2,1.0,0.1,1.5,2.3,-1.6,-3.0,False
2.4,1.2,0.02,3.3,7.9,0.01,-0.9,-6.7,0.04,1.5,1.3,0.02,0.8,1.5,2.3,3.5,0.9,1.0,-0.1,0.7,9.5,36.0,True
4.2,3.7,0.03,-2.6,-7.2,-0.0,6.8,10.9,0.01,-1.4,-1.2,-0.02,-0.9,8.5,7.6,4.8,-1.0,1.0,0.6,-2.4,4.2,7.0,True
0.3,3.8,-0.02,0.1,2.9,-0.04,0.2,0.8,-0.0,-3.5,-4.2,-0.01,1.6,-2.3,-0.7,0.6,1.5,0.3,-1.4,-3.0,-2.6,-12.0,False
2.3,0.4,0.02,-2.7,-7.1,-0.01,5.0,7.6,0.02,0.2,0.0,0.01,-0.5,1.7,1.2,1.2,-0.8,0.3,-2.2,-2.5,2.1,4.0,False
-4.4,-6.2,-0.02,1.2,6.7,-0.04,-5.6,-13.0,0.02,2.3,2.6,0.02,-0.9,0.8,-0.1,-2.0,-1.8,-0.1,0.8,-1.3,-5.3,-6.0,False
3.1,1.7,0.03,-1.1,-3.4,0.0,4.2,5.2,0.03,-1.5,-2.2,0.01,0.5,0.9,1.4,4.9,0.8,0.4,-0.4,-2.1,3.7,13.0,True
0.5,0.4,0.0,-1.0,-2.3,-0.01,1.4,2.8,-0.0,-2.1,-0.6,-0.07,0.5,3.7,4.2,-0.7,-0.8,0.8,1.6,0.0,-2.2,5.0,True
-1.1,0.9,-0.02,0.6,1.9,-0.0,-1.7,-1.0,-0.02,-6.2,-8.3,0.01,-0.9,-1.5,-2.4,-1.4,-0.8,0.1,-1.7,-2.7,-7.9,-9.0,True
-4.6,-9.6,-0.0,-1.5,-3.7,-0.01,-3.2,-5.7,-0.01,-0.1,-2.0,0.06,-3.8,-2.5,-6.3,0.5,-1.0,0.3,0.0,-0.4,-11.0,-16.0,True
0.3,-1.0,0.01,2.5,4.7,0.03,-2.2,-5.7,0.02,1.2,2.8,-0.04,0.9,5.1,6.0,2.1,-0.9,0.8,-0.5,-2.5,4.2,31.0,True
2.0,0.9,0.02,-1.8,-5.5,0.01,3.8,6.2,0.01,0.0,-2.2,0.07,0.8,0.6,1.4,-0.8,0.1,0.9,-1.3,-1.1,2.5,11.0,True
-3.1,0.8,-0.04,0.0,3.7,-0.05,-3.1,-2.9,-0.03,-4.5,-4.6,-0.03,0.8,-1.5,-0.8,-3.9,0.0,0.4,-0.5,-2.4,-10.5,-31.0,False
4.5,3.5,0.03,3.2,9.1,-0.0,1.3,-5.6,0.08,1.5,2.5,-0.02,-1.4,8.5,7.0,5.3,1.0,3.5,0.4,-0.4,13.6,41.0,True
-0.6,-3.0,0.01,-1.5,-6.0,0.02,0.9,2.9,-0.01,0.0,0.2,-0.0,-2.6,-0.8,-3.4,-1.4,1.0,0.5,0.3,-0.6,-2.7,-6.0,True
2.0,-0.7,0.03,0.5,-0.1,0.01,1.5,-0.5,0.03,-0.7,-1.1,0.01,-0.3,1.7,1.4,2.2,1.1,0.4,1.8,2.1,3.7,19.0,False
4.5,4.8,0.02,-5.8,-15.5,-0.01,10.3,20.4,-0.02,-1.5,-1.0,-0.03,0.9,4.3,5.2,5.8,-1.1,0.5,1.5,-0.9,1.5,-20.0,False
-0.2,2.1,-0.01,2.7,9.2,-0.03,-2.9,-7.1,0.01,-1.6,-1.5,-0.02,0.6,-0.8,-0.2,1.8,2.5,0.6,0.7,2.3,0.7,1.0,False
5.2,1.5,0.05,1.2,-0.4,0.04,4.1,1.8,0.06,-1.0,-2.7,0.05,-1.7,2.9,1.2,6.9,0.7,2.4,0.5,-0.7,10.7,16.0,True
-0.6,-2.6,0.01,-1.0,1.1,-0.04,0.3,-3.6,0.04,-0.2,0.6,-0.03,-0.8,2.0,1.2,0.2,-0.8,1.0,2.3,-0.7,-2.4,-2.0,True
-1.9,-0.7,-0.02,-0.7,-0.6,-0.01,-1.2,-0.2,-0.02,2.8,3.6,-0.01,0.1,-0.8,-0.7,-3.1,-1.4,-0.4,-0.6,-1.5,-1.7,-10.0,True
2.5,2.1,0.02,0.0,0.9,-0.01,2.5,1.2,0.03,3.3,2.2,0.07,-1.5,-2.4,-3.9,2.0,0.7,-0.9,-0.6,-0.2,8.3,-7.0,False
-0.1,3.6,-0.02,2.2,6.8,-0.01,-2.3,-3.2,-0.01,-3.6,-4.1,-0.02,0.7,-2.4,-1.7,-1.1,0.8,-0.2,2.1,2.3,-1.9,-22.0,True
-0.6,1.5,-0.02,-3.0,-8.1,-0.01,2.4,9.6,-0.05,-2.6,-4.8,0.05,-1.2,-2.3,-3.5,-4.1,-0.7,-1.6,-1.0,-0.8,-6.8,-28.0,False
-3.6,-6.9,-0.01,-0.2,0.2,-0.01,-3.4,-6.9,0.0,-1.4,-1.3,-0.02,-2.5,-0.5,-3.0,-0.7,0.0,0.5,0.9,1.7,-9.0,-3.0,False
5.2,2.9,0.04,0.8,-2.2,0.04,4.5,5.1,0.03,-2.5,-4.9,0.06,-0.4,1.3,0.9,6.0,1.1,2.1,0.1,1.3,8.8,24.0,False
3.5,2.3,0.03,-1.1,-4.1,0.01,4.6,6.3,0.02,1.7,0.2,0.07,0.4,2.6,3.0,0.5,-0.2,1.0,0.0,-1.7,7.7,12.0,True
3.1,5.7,0.01,1.7,0.6,0.05,1.4,5.1,-0.02,-1.1,0.0,-0.05,1.9,3.1,5.0,1.5,-0.7,-0.7,-2.2,-2.2,6.7,20.0,True
2.4,4.7,0.0,1.5,3.2,0.01,0.9,1.4,0.0,-2.7,-3.8,0.01,1.2,2.4,3.6,1.6,-1.7,-0.1,-0.8,-3.4,3.8,9.0,True
-2.4,0.1,-0.03,0.3,3.3,-0.03,-2.7,-3.2,-0.02,-6.2,-7.8,0.0,1.0,-3.9,-2.8,-3.3,-0.3,-2.3,-1.0,-3.3,-10.6,-29.0,False
-3.7,-1.7,-0.03,-1.0,-1.9,-0.01,-2.7,0.1,-0.05,2.3,3.0,0.0,-1.4,-0.2,-1.7,-7.3,-0.9,0.7,0.6,0.9,-6.1,-37.0,False
-0.4,-4.9,0.02,1.0,1.2,0.02,-1.5,-6.0,0.03,-0.1,-3.0,0.09,-3.0,0.1,-2.9,2.0,-1.0,0.1,0.0,-1.4,-0.1,9.0,False
-3.1,-1.0,-0.03,6.2,20.1,-0.04,-9.3,-21.1,0.04,2.1,3.4,-0.03,1.0,-3.6,-2.6,-3.3,2.4,0.2,1.2,3.9,2.2,5.0,True
3.8,3.1,0.03,2.2,5.8,0.0,1.6,-2.7,0.06,2.8,1.5,0.08,-1.9,5.3,3.4,1.7,-0.1,0.4,-0.8,-1.3,12.4,21.0,True
2.3,0.8,0.02,-2.5,-5.2,-0.02,4.7,6.0,0.03,-2.7,-2.2,-0.05,-0.8,0.8,0.0,1.8,0.9,1.3,0.6,-0.8,-0.4,-5.0,False
-1.4,-1.5,-0.01,1.8,5.2,0.0,-3.2,-6.7,0.0,-0.7,-1.2,0.01,-1.4,0.4,-1.0,-1.4,-1.1,-0.1,-0.9,-1.4,-1.8,3.0,True
0.2,0.1,0.0,0.3,1.9,-0.01,-0.1,-1.9,0.02,2.6,3.0,0.01,-2.2,-1.8,-4.0,-1.1,0.6,0.2,0.7,0.7,3.3,-22.0,False
1.0,5.4,-0.02,0.9,3.0,-0.0,0.1,2.4,-0.02,-1.2,-2.1,0.02,1.6,-1.9,-0.3,-0.2,0.1,-0.8,1.9,2.5,1.6,-21.0,True
1.3,-0.9,0.02,-2.5,-5.5,-0.02,3.8,4.6,0.03,0.3,-0.4,0.03,-2.3,-2.3,-4.6,1.4,2.1,1.1,1.8,1.5,0.5,-22.0,False
4.4,6.2,0.02,-1.2,-6.7,0.04,5.6,13.0,-0.02,-2.3,-2.6,-0.02,0.9,-0.8,0.1,2.0,1.8,0.1,-0.8,1.3,5.3,6.0,True
2.7,2.8,0.02,3.8,9.0,0.01,-1.0,-6.3,0.04,0.5,-0.7,0.05,0.4,2.8,3.2,3.4,-1.1,1.5,0.6,2.0,9.7,9.0,True
-4.5,-3.5,-0.03,-3.2,-9.1,0.0,-1.3,5.6,-0.08,-1.5,-2.5,0.02,1.4,-8.5,-7.0,-5.3,-1.0,-3.5,-0.4,0.4,-13.6,-41.0,True
-3.3,-3.1,-0.02,1.1,2.2,0.01,-4.4,-5.4,-0.03,-2.8,-4.2,0.02,-1.1,-0.8,-1.9,-1.5,-0.8,0.0,-1.6,-2.5,-8.1,9.0,True
-0.6,-2.3,0.01,-1.8,-4.3,-0.01,1.2,2.0,0.0,5.6,8.0,-0.03,1.1,2.2,3.3,0.6,-1.2,0.0,2.1,0.9,2.8,2.0,True
-2.2,1.9,-0.03,-2.1,-4.5,-0.02,-0.1,6.4,-0.06,-0.7,-1.6,0.02,0.5,-2.1,-1.7,-5.9,-1.3,-0.8,-1.1,-0.2,-7.1,-33.0,False
-2.3,-2.2,-0.02,-2.2,-7.4,0.01,-0.1,5.2,-0.05,-2.2,-3.2,0.01,-0.9,1.4,0.5,-4.4,-0.9,-0.3,0.0,-0.4,-9.1,-10.0,True
-1.2,-3.0,0.0,-6.2,-16.5,-0.01,5.0,13.6,-0.05,-1.6,-1.4,-0.02,-1.4,1.1,-0.3,2.7,-0.2,0.6,0.7,0.0,-10.4,-20.0,True
2.7,0.4,0.03,-1.4,-7.1,0.04,4.1,7.5,0.0,2.1,-0.7,0.12,-2.0,0.4,-1.6,0.2,-1.5,-0.8,-2.6,-2.8,6.0,9.0,False
0.4,4.9,-0.02,-1.0,-1.2,-0.02,1.5,6.0,-0.03,0.1,3.0,-0.09,3.0,-0.1,2.9,-2.0,1.0,-0.1,0.0,1.4,0.1,-9.0,False
3.5,3.7,0.02,-1.5,-5.9,0.02,5.0,9.6,-0.0,0.2,-2.0,0.07,1.7,1.0,2.7,-0.4,0.2,0.7,-0.4,0.3,5.8,20.0,True
-1.3,1.6,-0.02,1.1,3.7,-0.01,-2.4,-2.2,-0.02,-2.8,-4.4,0.03,-1.0,-3.0,-4.0,-3.7,-0.2,-0.4,-2.7,-2.4,-4.5,-12.0,False
2.2,4.4,0.0,-3.1,-8.4,-0.0,5.3,12.8,-0.03,-1.7,-1.0,-0.04,1.4,2.6,4.0,4.6,-0.3,0.2,3.7,1.6,-0.6,-24.0,False
0.8,0.6,0.01,3.2,7.2,0.02,-2.3,-6.7,0.02,1.6,-0.1,0.07,-0.9,4.0,3.1,0.4,0.0,0.5,-1.8,-1.1,6.3,23.0,True
-2.4,1.5,-0.03,-3.2,-5.7,-0.03,0.7,7.2,-0.05,2.8,3.9,-0.01,1.6,-3.0,-1.4,-4.8,0.7,-1.4,-1.2,-1.1,-5.2,-21.0,False
2.9,3.4,0.01,-1.5,-6.3,0.02,4.4,9.6,-0.01,-2.5,-2.8,-0.02,0.0,-1.2,-1.2,1.6,1.7,0.3,-1.7,-0.1,2.0,-3.0,False
0.0,0.5,-0.0,0.5,0.4,0.01,-0.5,0.1,-0.01,6.8,7.4,0.04,0.4,2.1,2.5,-2.0,-1.9,-0.2,0.8,3.9,7.1,0.0,True
0.1,-0.7,0.0,-1.8,-5.7,0.01,1.9,5.0,-0.01,-0.9,-2.4,0.05,-0.7,-1.7,-2.3,-1.8,-0.4,-1.6,-0.3,-2.1,-2.5,-22.0,True
1.7,3.7,0.0,-0.8,-0.7,-0.02,2.5,4.4,0.0,-0.4,-1.6,0.03,-0.3,-3.7,-4.0,0.3,0.2,-1.3,-1.0,-0.4,2.3,-18.0,False
0.2,0.5,-0.0,1.6,3.1,0.01,-1.4,-2.7,0.0,-0.2,-1.4,0.05,-2.1,0.2,-1.9,-1.1,0.9,0.9,-0.6,0.4,1.7,-5.0,False
4.0,0.8,0.04,2.4,4.3,0.03,1.6,-3.5,0.06,-0.4,-1.9,0.05,-0.9,1.3,0.5,5.3,1.5,0.2,0.0,0.1,9.8,41.0,True
3.0,6.0,0.0,0.1,0.2,-0.0,3.0,5.7,0.0,2.7,3.3,0.02,1.4,0.4,1.8,-0.9,1.7,-0.3,-0.7,1.5,8.8,10.0,False
-1.7,-1.4,-0.01,-3.4,-9.1,0.01,1.6,7.8,-0.04,0.9,0.6,0.02,-0.5,-1.0,-1.5,-4.9,-1.5,-1.7,-2.2,-3.3,-6.0,-9.0,True
-4.9,-5.3,-0.03,2.2,6.7,-0.0,-7.1,-12.2,-0.01,1.0,1.9,-0.02,-1.0,-1.0,-2.0,-3.6,-0.9,-1.1,-0.6,-1.0,-6.5,0.0,False
0.3,-0.5,0.01,0.5,3.4,-0.02,-0.2,-3.9,0.03,1.4,2.0,-0.0,0.3,-2.8,-2.5,2.0,1.6,0.8,1.5,3.3,2.6,-3.0,False
1.0,3.6,-0.01,1.5,5.3,-0.02,-0.5,-1.8,0.01,3.2,2.2,0.06,2.5,2.5,5.0,-3.0,-2.0,0.1,0.1,1.0,6.7,5.0,True
-4.4,-2.2,-0.04,-0.3,-1.5,0.01,-4.0,-0.8,-0.06,1.8,0.6,0.06,0.3,-2.1,-1.9,-5.5,-0.7,-0.3,-1.7,0.2,-7.2,-20.0,True
-0.6,-1.8,0.0,-0.6,-1.5,-0.0,0.0,-0.2,0.0,-3.3,-1.4,-0.1,1.3,1.2,2.5,1.1,0.4,0.6,2.5,2.0,-5.0,0.0,True
1.9,2.9,0.01,2.7,8.0,-0.01,-0.8,-5.1,0.04,-3.3,-4.3,0.0,-1.6,3.5,1.9,-0.9,0.1,0.6,-1.0,-1.7,2.9,9.0,False
-3.4,-0.8,-0.03,-0.3,1.0,-0.02,-3.1,-1.8,-0.04,-0.4,1.1,-0.06,1.8,-2.0,-0.2,-2.9,-1.4,-1.3,-0.2,1.1,-7.4,-17.0,True
-1.0,-2.7,0.0,-1.6,-4.9,0.0,0.6,2.2,-0.01,-2.6,-4.2,0.03,-1.6,0.9,-0.7,-0.3,-1.6,0.3,-3.8,-5.0,-6.0,13.0,True
3.4,5.2,0.01,2.2,4.0,0.03,1.2,1.2,0.01,0.3,2.0,-0.06,2.2,0.3,2.5,3.5,0.9,0.1,-0.7,1.1,9.3,17.0,True
-2.4,-3.9,-0.01,6.0,16.7,0.01,-8.4,-20.5,0.05,0.2,0.1,0.0,-1.1,-1.6,-2.7,-3.4,0.2,-0.1,0.2,1.7,1.4,17.0,True
1.0,-2.2,0.02,-2.8,-10.4,0.03,3.8,8.1,-0.01,3.6,3.0,0.05,-1.3,0.2,-1.1,0.2,0.2,0.6,-0.6,1.8,2.9,6.0,True
0.7,-1.3,0.01,-0.4,-2.5,0.01,1.1,1.2,0.01,-2.0,-3.9,0.05,-1.8,0.2,-1.6,0.5,0.4,0.2,-4.2,-3.2,-0.9,20.0,True
4.1,5.7,0.02,1.4,4.4,-0.0,2.7,1.2,0.04,0.7,0.9,-0.0,0.9,-0.3,0.6,2.4,0.0,-0.9,0.1,-1.3,10.5,-1.0,True
3.6,4.8,0.01,0.7,0.6,0.02,2.9,4.3,0.01,0.2,0.7,-0.02,2.0,4.9,6.9,3.1,-1.6,0.3,-0.8,-2.5,7.9,14.0,False
-0.1,-0.7,0.0,2.2,7.5,-0.01,-2.3,-8.3,0.04,2.4,4.6,-0.05,-0.6,3.3,2.6,2.7,0.0,1.9,0.7,0.1,4.4,14.0,True
